Number of Dyck words is 2674440
Processing Dyck words, elapsed time = 7291ms 
Dyck words use ~ 149.525685 MB
Using 190 / 192 threads
Number of palindromic Dyck words is 3432
Number of non-palindromic Dyck words is 1335504
Thread 0 has load 34265
Thread 1 has load 34165
Thread 2 has load 34065
Thread 3 has load 33965
Thread 4 has load 33865
Thread 5 has load 33765
Thread 6 has load 33665
Thread 7 has load 33565
Thread 8 has load 33465
Thread 9 has load 33365
Thread 10 has load 33265
Thread 11 has load 33165
Thread 12 has load 33065
Thread 13 has load 32965
Thread 14 has load 32865
Thread 15 has load 32765
Thread 16 has load 32665
Thread 17 has load 32565
Thread 18 has load 32465
Thread 19 has load 32365
Thread 20 has load 32265
Thread 21 has load 32165
Thread 22 has load 32065
Thread 23 has load 31965
Thread 24 has load 31865
Thread 25 has load 31765
Thread 26 has load 31665
Thread 27 has load 31565
Thread 28 has load 31465
Thread 29 has load 31365
Thread 30 has load 31265
Thread 31 has load 31165
Thread 32 has load 31065
Thread 33 has load 34056
Thread 34 has load 33935
Thread 35 has load 33814
Thread 36 has load 33693
Thread 37 has load 33572
Thread 38 has load 33451
Thread 39 has load 33330
Thread 40 has load 33209
Thread 41 has load 33088
Thread 42 has load 32967
Thread 43 has load 32846
Thread 44 has load 32725
Thread 45 has load 32604
Thread 46 has load 32483
Thread 47 has load 32362
Thread 48 has load 32241
Thread 49 has load 32120
Thread 50 has load 31999
Thread 51 has load 31878
Thread 52 has load 31757
Thread 53 has load 31636
Thread 54 has load 31515
Thread 55 has load 31394
Thread 56 has load 31273
Thread 57 has load 31152
Thread 58 has load 31031
Thread 59 has load 33714
Thread 60 has load 33570
Thread 61 has load 33426
Thread 62 has load 33282
Thread 63 has load 33138
Thread 64 has load 32994
Thread 65 has load 32850
Thread 66 has load 32706
Thread 67 has load 32562
Thread 68 has load 32418
Thread 69 has load 32274
Thread 70 has load 32130
Thread 71 has load 31986
Thread 72 has load 31842
Thread 73 has load 31698
Thread 74 has load 31554
Thread 75 has load 31410
Thread 76 has load 31266
Thread 77 has load 31122
Thread 78 has load 33553
Thread 79 has load 33384
Thread 80 has load 33215
Thread 81 has load 33046
Thread 82 has load 32877
Thread 83 has load 32708
Thread 84 has load 32539
Thread 85 has load 32370
Thread 86 has load 32201
Thread 87 has load 32032
Thread 88 has load 31863
Thread 89 has load 31694
Thread 90 has load 31525
Thread 91 has load 31356
Thread 92 has load 31187
Thread 93 has load 31018
Thread 94 has load 33215
Thread 95 has load 33019
Thread 96 has load 32823
Thread 97 has load 32627
Thread 98 has load 32431
Thread 99 has load 32235
Thread 100 has load 32039
Thread 101 has load 31843
Thread 102 has load 31647
Thread 103 has load 31451
Thread 104 has load 31255
Thread 105 has load 31059
Thread 106 has load 33060
Thread 107 has load 32835
Thread 108 has load 32610
Thread 109 has load 32385
Thread 110 has load 32160
Thread 111 has load 31935
Thread 112 has load 31710
Thread 113 has load 31485
Thread 114 has load 31260
Thread 115 has load 31035
Thread 116 has load 32856
Thread 117 has load 32600
Thread 118 has load 32344
Thread 119 has load 32088
Thread 120 has load 31832
Thread 121 has load 31576
Thread 122 has load 31320
Thread 123 has load 31064
Thread 124 has load 32725
Thread 125 has load 32436
Thread 126 has load 32147
Thread 127 has load 31858
Thread 128 has load 31569
Thread 129 has load 31280
Thread 130 has load 30991
Thread 131 has load 32499
Thread 132 has load 32175
Thread 133 has load 31851
Thread 134 has load 31527
Thread 135 has load 31203
Thread 136 has load 32585
Thread 137 has load 32224
Thread 138 has load 31863
Thread 139 has load 31502
Thread 140 has load 31141
Thread 141 has load 32390
Thread 142 has load 31990
Thread 143 has load 31590
Thread 144 has load 31190
Thread 145 has load 32319
Thread 146 has load 31878
Thread 147 has load 31437
Thread 148 has load 30996
Thread 149 has load 31999
Thread 150 has load 31515
Thread 151 has load 31031
Thread 152 has load 31924
Thread 153 has load 31395
Thread 154 has load 32196
Thread 155 has load 31620
Thread 156 has load 31044
Thread 157 has load 31725
Thread 158 has load 31100
Thread 159 has load 31681
Thread 160 has load 31005
Thread 161 has load 31482
Thread 162 has load 31878
Thread 163 has load 31094
Thread 164 has load 31378
Thread 165 has load 31575
Thread 166 has load 31682
Thread 167 has load 31696
Thread 168 has load 31614
Thread 169 has load 31433
Thread 170 has load 31150
Thread 171 has load 31598
Thread 172 has load 31027
Thread 173 has load 31100
Thread 174 has load 31648
Thread 175 has load 31140
Thread 176 has load 31605
Thread 177 has load 31482
Thread 178 has load 31233
Thread 179 has load 31005
Thread 180 has load 31262
Thread 181 has load 31213
Thread 182 has load 31062
Thread 183 has load 5253
Thread 1 is finished, elapsed time = 2382μs 
Thread 5 is finished, elapsed time = 3424μs 
Thread 7 is finished, elapsed time = 3110μs 
Thread 2 is finished, elapsed time = 4027μs 
Thread 6 is finished, elapsed time = 4125μs 
Thread 10 is finished, elapsed time = 3292μs 
Thread 9 is finished, elapsed time = 3450μs 
Thread 8 is finished, elapsed time = 4051μs 
Thread 3 is finished, elapsed time = 5077μs 
Thread 11 is finished, elapsed time = 3556μs 
Thread 19 is finished, elapsed time = 2033μs 
Thread 12 is finished, elapsed time = 3059μs 
Thread 18 is finished, elapsed time = 2359μs 
Thread 13 is finished, elapsed time = 3610μs 
Thread 17 is finished, elapsed time = 2908μs 
Thread 16 is finished, elapsed time = 3387μs 
Thread 0 is finished, elapsed time = 6688μs 
Thread 4 is finished, elapsed time = 6234μs 
Thread 21 is finished, elapsed time = 2549μs 
Thread 22 is finished, elapsed time = 2973μs 
Thread 23 is finished, elapsed time = 2956μs 
Thread 20 is finished, elapsed time = 2922μs 
Thread 30 is finished, elapsed time = 2845μs 
Thread 26 is finished, elapsed time = 3306μs 
Thread 27 is finished, elapsed time = 3293μs 
Thread 33 is finished, elapsed time = 2861μs 
Thread 32 is finished, elapsed time = 2603μs 
Thread 24 is finished, elapsed time = 2198μs 
Thread 29 is finished, elapsed time = 4519μs 
Thread 36 is finished, elapsed time = 2123μs 
Thread 31 is finished, elapsed time = 4037μs 
Thread 25 is finished, elapsed time = 5157μs 
Thread 34 is finished, elapsed time = 3294μs 
Thread 37 is finished, elapsed time = 2367μs 
Thread 28 is finished, elapsed time = 5214μs 
Thread 38 is finished, elapsed time = 2380μs 
Thread 14 is finished, elapsed time = 2490μs 
Thread 40 is finished, elapsed time = 2287μs 
Thread 39 is finished, elapsed time = 2746μs 
Thread 42 is finished, elapsed time = 2078μs 
Thread 44 is finished, elapsed time = 2271μs 
Thread 48 is finished, elapsed time = 1977μs 
Thread 50 is finished, elapsed time = 2418μs 
Thread 52 is finished, elapsed time = 2249μs 
Thread 41 is finished, elapsed time = 2080μs 
Thread 54 is finished, elapsed time = 2101μs 
Thread 53 is finished, elapsed time = 2381μs 
Thread 15 is finished, elapsed time = 4811μs 
Thread 46 is finished, elapsed time = 3323μs 
Thread 51 is finished, elapsed time = 2814μs 
Thread 47 is finished, elapsed time = 3061μs 
Thread 56 is finished, elapsed time = 2294μs 
Thread 35 is finished, elapsed time = 6814μs 
Thread 58 is finished, elapsed time = 2201μs 
Thread 61 is finished, elapsed time = 1694μs 
Thread 59 is finished, elapsed time = 2486μs 
Thread 60 is finished, elapsed time = 2454μs 
Thread 43 is finished, elapsed time = 5181μs 
Thread 55 is finished, elapsed time = 2120μs 
Thread 66 is finished, elapsed time = 1335μs 
Thread 45 is finished, elapsed time = 4794μs 
Thread 67 is finished, elapsed time = 1376μs 
Thread 68 is finished, elapsed time = 1278μs 
Thread 49 is finished, elapsed time = 4888μs 
Thread 65 is finished, elapsed time = 2040μs 
Thread 57 is finished, elapsed time = 2702μs 
Thread 64 is finished, elapsed time = 1977μs 
Thread 63 is finished, elapsed time = 2779μs 
Thread 70 is finished, elapsed time = 1328μs 
Thread 62 is finished, elapsed time = 3107μs 
Thread 69 is finished, elapsed time = 2255μs 
Thread 72 is finished, elapsed time = 1841μs 
Thread 73 is finished, elapsed time = 1715μs 
Thread 71 is finished, elapsed time = 2096μs 
Thread 76 is finished, elapsed time = 1314μs 
Thread 74 is finished, elapsed time = 2256μs 
Thread 78 is finished, elapsed time = 1424μs 
Thread 75 is finished, elapsed time = 1975μs 
Thread 79 is finished, elapsed time = 1410μs 
Thread 80 is finished, elapsed time = 1700μs 
Thread 81 is finished, elapsed time = 1586μs 
Thread 82 is finished, elapsed time = 1635μs 
Thread 83 is finished, elapsed time = 1654μs 
Thread 77 is finished, elapsed time = 2941μs 
Thread 85 is finished, elapsed time = 1543μs 
Thread 86 is finished, elapsed time = 1860μs 
Thread 87 is finished, elapsed time = 2078μs 
Thread 89 is finished, elapsed time = 1809μs 
Thread 90 is finished, elapsed time = 1899μs 
Thread 84 is finished, elapsed time = 3123μs 
Thread 88 is finished, elapsed time = 2559μs 
Thread 95 is finished, elapsed time = 1556μs 
Thread 91 is finished, elapsed time = 2402μs 
Thread 93 is finished, elapsed time = 2073μs 
Thread 92 is finished, elapsed time = 2272μs 
Thread 94 is finished, elapsed time = 1950μs 
Thread 99 is finished, elapsed time = 1110μs 
Thread 98 is finished, elapsed time = 1346μs 
Thread 97 is finished, elapsed time = 1828μs 
Thread 101 is finished, elapsed time = 1042μs 
Thread 100 is finished, elapsed time = 1375μs 
Thread 102 is finished, elapsed time = 1073μs 
Thread 105 is finished, elapsed time = 1088μs 
Thread 96 is finished, elapsed time = 3309μs 
Thread 103 is finished, elapsed time = 2109μs 
Thread 104 is finished, elapsed time = 2064μs 
Thread 106 is finished, elapsed time = 1234μs 
Thread 107 is finished, elapsed time = 1216μs 
Thread 110 is finished, elapsed time = 839μs 
Thread 111 is finished, elapsed time = 798μs 
Thread 109 is finished, elapsed time = 1545μs 
Thread 108 is finished, elapsed time = 1825μs 
Thread 115 is finished, elapsed time = 684μs 
Thread 113 is finished, elapsed time = 1182μs 
Thread 116 is finished, elapsed time = 741μs 
Thread 114 is finished, elapsed time = 1099μs 
Thread 112 is finished, elapsed time = 1469μs 
Thread 117 is finished, elapsed time = 735μs 
Thread 118 is finished, elapsed time = 682μs 
Thread 122 is finished, elapsed time = 846μs 
Thread 121 is finished, elapsed time = 937μs 
Thread 119 is finished, elapsed time = 1312μs 
Thread 123 is finished, elapsed time = 1046μs 
Thread 125 is finished, elapsed time = 821μs 
Thread 124 is finished, elapsed time = 1077μs 
Thread 120 is finished, elapsed time = 1931μs 
Thread 126 is finished, elapsed time = 1106μs 
Thread 129 is finished, elapsed time = 728μs 
Thread 128 is finished, elapsed time = 1018μs 
Thread 127 is finished, elapsed time = 1210μs 
Thread 130 is finished, elapsed time = 812μs 
