Number of Dyck words is 9694845
Processing Dyck words, elapsed time = 28124ms 
Dyck words use ~ 579.217458 MB
Using 190 / 192 threads
Number of palindromic Dyck words is 6435
Number of non-palindromic Dyck words is 4844205
Thread 0 has load 109242
Thread 1 has load 115353
Thread 2 has load 115029
Thread 3 has load 114705
Thread 4 has load 114381
Thread 5 has load 114057
Thread 6 has load 113733
Thread 7 has load 113409
Thread 8 has load 113085
Thread 9 has load 112761
Thread 10 has load 112437
Thread 11 has load 112113
Thread 12 has load 111789
Thread 13 has load 111465
Thread 14 has load 111141
Thread 15 has load 110817
Thread 16 has load 110493
Thread 17 has load 110169
Thread 18 has load 109845
Thread 19 has load 109521
Thread 20 has load 109197
Thread 21 has load 114912
Thread 22 has load 114551
Thread 23 has load 114190
Thread 24 has load 113829
Thread 25 has load 113468
Thread 26 has load 113107
Thread 27 has load 112746
Thread 28 has load 112385
Thread 29 has load 112024
Thread 30 has load 111663
Thread 31 has load 111302
Thread 32 has load 110941
Thread 33 has load 110580
Thread 34 has load 110219
Thread 35 has load 109858
Thread 36 has load 109497
Thread 37 has load 109136
Thread 38 has load 114490
Thread 39 has load 114090
Thread 40 has load 113690
Thread 41 has load 113290
Thread 42 has load 112890
Thread 43 has load 112490
Thread 44 has load 112090
Thread 45 has load 111690
Thread 46 has load 111290
Thread 47 has load 110890
Thread 48 has load 110490
Thread 49 has load 110090
Thread 50 has load 109690
Thread 51 has load 109290
Thread 52 has load 114324
Thread 53 has load 113883
Thread 54 has load 113442
Thread 55 has load 113001
Thread 56 has load 112560
Thread 57 has load 112119
Thread 58 has load 111678
Thread 59 has load 111237
Thread 60 has load 110796
Thread 61 has load 110355
Thread 62 has load 109914
Thread 63 has load 109473
Thread 64 has load 109032
Thread 65 has load 113751
Thread 66 has load 113267
Thread 67 has load 112783
Thread 68 has load 112299
Thread 69 has load 111815
Thread 70 has load 111331
Thread 71 has load 110847
Thread 72 has load 110363
Thread 73 has load 109879
Thread 74 has load 109395
Thread 75 has load 113850
Thread 76 has load 113321
Thread 77 has load 112792
Thread 78 has load 112263
Thread 79 has load 111734
Thread 80 has load 111205
Thread 81 has load 110676
Thread 82 has load 110147
Thread 83 has load 109618
Thread 84 has load 109089
Thread 85 has load 113268
Thread 86 has load 112692
Thread 87 has load 112116
Thread 88 has load 111540
Thread 89 has load 110964
Thread 90 has load 110388
Thread 91 has load 109812
Thread 92 has load 109236
Thread 93 has load 113175
