Number of Dyck words is 208012
Processing Dyck words, elapsed time = 404ms 
Dyck words use ~ 10.032143 MB
Using 190 / 192 threads
Number of palindromic Dyck words is 924
Number of non-palindromic Dyck words is 103544
Thread 0 has load 2766
Thread 1 has load 2757
Thread 2 has load 2748
Thread 3 has load 2739
Thread 4 has load 2730
Thread 5 has load 2721
Thread 6 has load 2712
Thread 7 has load 2703
Thread 8 has load 2694
Thread 9 has load 2685
Thread 10 has load 2676
Thread 11 has load 2667
Thread 12 has load 2658
Thread 13 has load 2649
Thread 14 has load 2640
Thread 15 has load 2631
Thread 16 has load 2622
Thread 17 has load 2613
Thread 18 has load 2604
Thread 19 has load 2595
Thread 20 has load 2586
Thread 21 has load 2577
Thread 22 has load 2568
Thread 23 has load 2559
Thread 24 has load 2550
Thread 25 has load 2541
Thread 26 has load 2532
Thread 27 has load 2523
Thread 28 has load 2514
Thread 29 has load 2505
Thread 30 has load 2496
Thread 31 has load 2487
Thread 32 has load 2478
Thread 33 has load 2469
Thread 34 has load 2460
Thread 35 has load 2451
Thread 36 has load 2442
Thread 37 has load 2433
Thread 38 has load 2424
Thread 39 has load 2415
Thread 40 has load 2406
Thread 41 has load 2397
Thread 42 has load 2388
Thread 43 has load 2379
Thread 44 has load 2370
Thread 45 has load 2361
Thread 46 has load 2352
Thread 47 has load 2343
Thread 48 has load 2334
Thread 49 has load 2325
Thread 50 has load 2316
Thread 51 has load 2307
Thread 52 has load 2298
Thread 53 has load 2289
Thread 54 has load 2280
Thread 55 has load 2271
Thread 56 has load 2262
Thread 57 has load 2253
Thread 58 has load 2244
Thread 59 has load 2978
Thread 60 has load 2962
Thread 61 has load 2946
Thread 62 has load 2930
Thread 63 has load 2914
Thread 64 has load 2898
Thread 65 has load 2882
Thread 66 has load 2866
Thread 67 has load 2850
Thread 68 has load 2834
Thread 69 has load 2818
Thread 70 has load 2802
Thread 71 has load 2786
Thread 72 has load 2770
Thread 73 has load 2754
Thread 74 has load 2738
Thread 75 has load 2722
Thread 76 has load 2706
Thread 77 has load 2690
Thread 78 has load 2674
Thread 79 has load 2658
Thread 80 has load 2642
Thread 81 has load 2626
Thread 82 has load 2610
Thread 83 has load 2594
Thread 84 has load 2578
Thread 85 has load 2562
Thread 86 has load 2546
Thread 87 has load 2530
Thread 88 has load 2514
Thread 89 has load 2498
Thread 90 has load 2482
Thread 91 has load 2466
Thread 92 has load 2450
Thread 93 has load 2434
Thread 94 has load 2418
Thread 95 has load 2402
Thread 96 has load 2386
Thread 97 has load 2370
Thread 98 has load 2354
Thread 99 has load 2338
Thread 100 has load 2322
Thread 101 has load 2306
Thread 102 has load 2290
Thread 103 has load 2274
Thread 104 has load 2258
Thread 105 has load 2800
